# very high-symmetrical graphs from publication: Razinger et al. J.Chem.Inf.ComputSci. 1993, 33, 197-201, Figure 8
C12C3C1C23 graph_A
C12C3C1C1C2C31 graph_B
C12C3C4C1C1C2C3C41 graph_C
C12C3C4C3C3C1C2C43 graph_D
C12C3C4C1C1C5C2C3C5C41 graph_E
C12C3C1C1C4C2C2C3C1C42 graph_F
C12C3C1C1C3C3C4C3C1C24 graph_G
C12C3C4C3C3C5C1C2C5C43 graph_H
C12C3C4C5C6C1C6C(C23)C45 graph_I
C12C3C4C1C1C4C4C5C3C2C5C14 graph_J
C12C3C4C1C1C5C2C3C2C4C1C52 graph_K
C12C3C4C1C1C4C4C1C1C5C2C3C5C41 graph_L
C12C3C4C1C1C4C3C3C4C2C2C1C3C42 graph_M
C12C3C4C1C1C5C6C2C2C3C4C1C5C62 graph_N
C12C3C4C5C6C1C1C2C3C2C4C5C6C12 graph_O
C12C3C4C5C6C7C8C(C1C47)C2C(C35)C68 graph_P
C12C3C4C1C1C5C6C7C8C6C1C4C8C3C7C25 graph_Q
C12C3C4C1C1C5C2C2C6C7C2C5C2C7C(C36)C4C12 graph_R
C12C3C4C5C1C1C6C2C2C3C3C4C4C5C1C1C6C2C3C41 graph_S

# Examples reviewer, including non-planar graphs

C12C3C4C1C3C1C3C4C1C23 SMI_1

C12C3C1C1C4C5C(C23)C5C14 SMI_2

C12C3C4C5C1C1C4C5C3C21 SMI_3

C12C3C4C1C2C1C2C4C2C31 SMI_4

C12C3C4C5C2C2C6C1C(C5C36)C42 SMI_5

C12C3C4C5C1C1C3C3C5C1C2C43 SMI_6

C12C3C4C5C6C1C1C7C3C3C5C1C1C6C3C2C7C41 SMI_7

C12C3C4C5C6C1C1C7C3C3C6C6C4C7C2C3C5C16 SMI_8

C12C3C4C5C6C7C8C9C1C6C1C(C37)C9C5C2C8C41 SMI_9

C12C3C4C5C6C7C1C1C8C4C4C9C2C2C5C5C1C1C3C(C7C45)C2C8C6C91 SMI_10

C12C3C4C5C6C7C1C1C8C4C4C7C7C3C3C8C8C2C2C5C3C4C(C1C72)C68 SMI_11

C12C3C4C5C6C7C8C1C1C9C5C5C%10C2C2C%11C%12C%13C3C3C7C%10C7C4C%11C1C3C(C5C8%12)C(C62)C7C9%13 SMI_12
